geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
d7cc3d00,1.0,10,3,3,4,3.7433,3.9719,3.5312,0.5871,0.3749,0.4627,0.05,0.35033333333333333,,0.46080220648253484,,0.178,,0.42995515767350545,
d875ee9e,1.0,10,3,3,4,4.3368,4.0258,4.2111,0.3349,0.3016,0.355,0.05,0.12233333333333334,,0.355476166478913,,0.057,,0.38981689661596247,
d9a55a29,1.0,10,3,3,4,3.6179,3.7626,3.9564,0.3223,0.57,0.5336,0.05,0.35,,0.4743341599658074,,0.17266666666666666,,0.40546594056578633,
da038f11,1.0,10,3,3,4,4.4732,3.6666,3.9685,0.3323,0.4044,0.301,0.05,0.15766666666666668,,0.3589546824564675,,0.07366666666666667,,0.38879567584320585,
debf9d4f,1.0,10,3,3,4,4.228,4.2278,4.2364,0.3174,0.4547,0.4969,0.05,0.21366666666666667,,0.41025156494193366,,0.10566666666666667,,0.42893662741835953,
e0a400f4,1.0,10,3,3,4,3.7923,4.1593,3.579,0.4889,0.4307,0.3586,0.05,0.278,,0.4367840584455196,,0.13533333333333333,,0.43250338889432016,
e1841afc,1.0,10,3,3,4,4.4447,3.552,4.5,0.4564,0.426,0.5184,0.05,0.2813333333333333,,0.4367852863829083,,0.142,,0.4817363464398068,
e23ada1a,1.0,10,3,3,4,4.3565,4.377,4.1919,0.3073,0.3645,0.378,0.05,0.13433333333333333,,0.4232585780471687,,0.059666666666666666,,0.5271286918894837,
e3aaa1a9,1.0,10,3,3,4,4.0805,3.757,4.1995,0.5195,0.3267,0.4985,0.05,0.2806666666666667,,0.43586556647452124,,0.14866666666666667,,0.40534144818105455,
e627e088,1.0,10,3,3,4,4.0585,4.4121,4.0867,0.3112,0.4525,0.4668,0.05,0.201,,0.38659139328547204,,0.10066666666666667,,0.34258758867393846,
e85c794c,1.0,10,3,3,4,3.5966,4.0584,3.773,0.53,0.4245,0.4041,0.05,0.32466666666666666,,0.3947072689652066,,0.16166666666666665,,0.3411026009933618,
e913c336,1.0,10,3,3,4,4.2166,3.977,4.1634,0.4878,0.3523,0.5842,0.05,0.294,,0.41740755008324787,,0.14733333333333334,,0.4066746600426943,
eb02e698,1.0,10,3,3,4,3.7668,4.3967,3.7475,0.572,0.4623,0.5454,0.05,0.3923333333333333,,0.4351465424510265,,0.23166666666666666,,0.36722661096972387,
ebc48997,1.0,10,3,3,4,4.0406,4.3299,3.9759,0.595,0.3315,0.5079,0.05,0.3283333333333333,,0.40616184864311916,,0.14933333333333335,,0.4850171286135251,
ed1e08a2,1.0,10,3,3,4,4.4819,3.653,4.2583,0.5124,0.4667,0.3631,0.05,0.30766666666666664,,0.40696208954891006,,0.15766666666666668,,0.426091635357469,
eff094c3,1.0,10,3,3,4,4.0134,4.2538,3.8568,0.5057,0.4158,0.4193,0.05,0.27566666666666667,,0.4185142248459791,,0.15333333333333332,,0.3941251901289003,
f6caa411,1.0,10,3,3,4,3.907,4.4278,4.1432,0.4016,0.5077,0.5677,0.05,0.30466666666666664,,0.44199788940238993,,0.163,,0.40050908557999293,
